QM9_index n(H) n(C) n(N) n(O) n(F) RI-CCSD(T)/aug-cc-pVTZ RI-MP2/aug-cc-pVQZ RI-MP2/aug-cc-pVTZ CCSD(T)/aug-cc-pVQZ_additive_scheme E(HF/cc-pVDZ) U0(QM9) zpve(QM9) dE_CCSD(T)/aug-cc-pVQZ_additive_scheme dE_HF/cc-pVDZ dE_QM9 dE_0DNN_ls_onQM9 PML_QC_DFT_correction dE_PML_QC_DFT PML_QC_CCSD_correction dE_PML_QC_CCSD
29 6 4 0 0 0 -155.768706 -155.789326 -155.702440 -155.855592 -154.920867 -155.908941 0.083896 -1.604892 -1.179019 -1.604111 -1.605048 0.000952 -1.604096 -0.002238 -1.607286
30 6 4 0 0 0 -155.761694 -155.781474 -155.694866 -155.848302 -154.911494 -155.897345 0.084338 -1.597602 -1.169645 -1.592957 -1.595675 0.004095 -1.591580 -0.003342 -1.599017
31 5 3 1 0 0 -171.853571 -171.885294 -171.793063 -171.945802 -170.975212 -172.006141 0.074190 -1.453647 -1.028072 -1.454789 -1.466182 0.012725 -1.453457 0.010477 -1.455705
32 4 2 2 0 0 -187.874257 -187.919219 -187.819579 -187.973897 -186.959542 -188.042067 0.063305 -1.240287 -0.807110 -1.243014 -1.257301 0.014157 -1.243144 0.015822 -1.241479
33 4 3 0 1 0 -191.636314 -191.682815 -191.581054 -191.738075 -190.723046 -191.810916 0.060632 -1.274596 -0.874133 -1.265561 -1.270067 0.004504 -1.265563 -0.005168 -1.275235
34 3 2 1 1 0 -207.724776 -207.783272 -207.675800 -207.832248 -206.783879 -207.916786 0.050262 -1.127313 -0.729674 -1.124245 -1.137688 0.012138 -1.125551 0.009035 -1.128654
35 6 3 0 1 0 -192.913882 -192.949647 -192.848138 -193.015391 -191.965357 -193.075202 0.084175 -1.552014 -1.117887 -1.552844 -1.555262 0.003947 -1.551315 0.002370 -1.552892
36 5 2 1 1 0 -208.963470 -209.015028 -208.905565 -209.072934 -207.979316 -209.144909 0.074166 -1.368102 -0.926554 -1.375726 -1.376010 0.001054 -1.374956 0.006791 -1.369219
37 4 2 0 2 0 -228.806157 -228.869338 -228.752779 -228.922716 -227.795876 -229.013797 0.061327 -1.246559 -0.841341 -1.251330 -1.248621 -0.000096 -1.248717 0.003018 -1.245603
38 4 2 0 2 0 -228.792111 -228.854353 -228.737924 -228.908540 -227.781685 -228.992613 0.060508 -1.232383 -0.827150 -1.229327 -1.234430 0.004241 -1.230189 0.000652 -1.233778
39 10 4 0 0 0 -158.244864 -158.248020 -158.160110 -158.332775 -157.309954 -158.340943 0.131708 -2.082282 -1.570993 -2.082833 -2.079905 -0.001578 -2.081482 -0.004846 -2.084751
40 8 3 0 1 0 -194.127159 -194.157005 -194.054243 -194.229921 -193.129558 -194.261089 0.108241 -1.766648 -1.283531 -1.762251 -1.762347 0.000852 -1.761496 -0.006108 -1.768455
41 8 3 0 1 0 -194.112759 -194.141277 -194.038509 -194.215527 -193.118789 -194.254127 0.107895 -1.752254 -1.272762 -1.754943 -1.751578 -0.001757 -1.753335 -0.002526 -1.754104
42 6 2 0 2 0 -230.010784 -230.066756 -229.949437 -230.128102 -228.949494 -230.183076 0.085172 -1.452049 -0.996403 -1.443908 -1.445124 0.001589 -1.443534 -0.006234 -1.451358
43 8 4 0 0 0 -157.002091 -157.015126 -156.927861 -157.089357 -156.107097 -157.116735 0.109284 -1.838761 -1.366692 -1.836747 -1.834163 -0.001862 -1.836025 -0.006516 -1.840679
44 6 3 0 1 0 -192.880986 -192.918268 -192.817085 -192.982170 -191.922205 -193.039603 0.085275 -1.518793 -1.074735 -1.518345 -1.512110 -0.006096 -1.518206 -0.007298 -1.519408
45 7 3 1 0 0 -173.012237 -173.036971 -172.943062 -173.106146 -172.081959 -173.147782 0.097671 -1.614095 -1.136263 -1.619365 -1.615814 -0.003991 -1.619805 -0.000213 -1.616027
46 6 3 0 1 0 -192.879493 -192.918977 -192.816524 -192.981946 -191.922012 -193.034988 0.085106 -1.518569 -1.074542 -1.513561 -1.511917 -0.001975 -1.513892 -0.008294 -1.520211
47 8 4 0 0 0 -157.003746 -157.013676 -156.927720 -157.089702 -156.107276 -157.115484 0.110511 -1.839106 -1.366871 -1.836723 -1.834342 -0.001285 -1.835627 -0.007397 -1.841739
48 6 3 0 1 0 -192.877247 -192.911715 -192.810987 -192.977975 -191.921538 -193.034094 0.086675 -1.514598 -1.074068 -1.514236 -1.511443 -0.002354 -1.513797 -0.005094 -1.516538
49 7 3 1 1 0 -248.169798 -248.218683 -248.088977 -248.299504 -246.948641 -248.375248 0.100501 -1.782023 -1.210779 -1.785082 -1.777782 -0.007155 -1.784937 -0.003913 -1.781695
50 5 4 1 0 0 -209.904198 -209.953320 -209.839147 -210.018371 -208.828484 -210.101789 0.082433 -1.713464 -1.194799 -1.711908 -1.709016 -0.006571 -1.715587 -0.006903 -1.715918
51 4 3 2 0 0 -225.942392 -226.003353 -225.882297 -226.063448 -224.835180 -226.160842 0.071145 -1.517086 -0.996204 -1.522857 -1.522501 -0.003481 -1.525982 0.005320 -1.517181
52 4 4 0 1 0 -229.743885 -229.802460 -229.680871 -229.865474 -228.643451 -229.969129 0.069883 -1.589242 -1.107994 -1.586253 -1.580034 -0.009667 -1.589701 -0.012803 -1.592837
53 3 3 1 1 0 -245.783449 -245.854030 -245.725446 -245.912033 -244.651777 -246.029150 0.058593 -1.394345 -0.911028 -1.398168 -1.395148 -0.006479 -1.401628 -0.000355 -1.395503
54 12 5 0 0 0 -197.514907 -197.521361 -197.412840 -197.623429 -196.347735 -197.632222 0.158836 -2.560287 -1.923672 -2.553922 -2.550132 -0.004094 -2.554227 -0.009467 -2.559599
55 10 4 0 1 0 -233.403464 -233.435512 -233.312475 -233.526501 -232.175105 -233.560626 0.134977 -2.250579 -1.643977 -2.241206 -2.240341 -0.000596 -2.240937 -0.010055 -2.250396
56 4 4 0 1 0 -229.697599 -229.752863 -229.631485 -229.818978 -228.606531 -229.927277 0.065175 -1.542746 -1.071073 -1.539693 -1.543113 0.004400 -1.538713 -0.000162 -1.543275
57 3 3 1 1 0 -245.780123 -245.847746 -245.720377 -245.907492 -244.660488 -246.027383 0.054510 -1.389805 -0.919738 -1.392318 -1.403859 0.012530 -1.391329 0.013881 -1.389978
58 3 2 3 0 0 -241.957808 -242.026968 -241.899482 -242.085294 -240.823654 -242.195730 0.056619 -1.297476 -0.779386 -1.306403 -1.317764 0.010999 -1.306766 0.019120 -1.298644
59 3 3 1 1 0 -245.751099 -245.822513 -245.693193 -245.880419 -244.623866 -245.997884 0.054731 -1.362732 -0.883117 -1.363040 -1.367238 0.002643 -1.364595 0.003608 -1.363629
60 4 3 0 2 0 -266.849227 -266.920398 -266.783590 -266.986036 -265.662471 -267.103350 0.064992 -1.497127 -1.021392 -1.497776 -1.504777 0.005483 -1.499294 0.004556 -1.500222
61 4 2 2 1 0 -263.034165 -263.107164 -262.970466 -263.170862 -261.831503 -263.278851 0.067668 -1.411823 -0.886905 -1.419582 -1.424548 0.004969 -1.419579 0.010818 -1.413730
62 3 2 1 2 0 -282.897163 -282.984435 -282.840039 -283.041559 -281.670990 -283.168740 0.054577 -1.311195 -0.824619 -1.315935 -1.320085 0.004063 -1.316022 0.009308 -1.310778
63 8 5 0 0 0 -195.027354 -195.049402 -194.942357 -195.134399 -193.949160 -195.186772 0.112471 -2.071051 -1.522210 -2.063199 -2.065787 0.002681 -2.063106 -0.006515 -2.072302
64 7 4 1 0 0 -211.119010 -211.152966 -211.040146 -211.231830 -210.013170 -211.295796 0.102281 -1.927026 -1.380929 -1.925217 -1.936586 0.012735 -1.923851 0.008734 -1.927853
65 6 3 2 0 0 -227.145206 -227.192137 -227.072130 -227.265213 -226.003523 -227.338075 0.091554 -1.718954 -1.165990 -1.719953 -1.733729 0.014294 -1.719435 0.013556 -1.720173
66 6 4 0 1 0 -230.908394 -230.956625 -230.834604 -231.030414 -229.768539 -231.108368 0.088908 -1.754285 -1.234525 -1.743971 -1.748006 0.004901 -1.743105 -0.007164 -1.755171
67 5 3 1 1 0 -246.997114 -247.057276 -246.929471 -247.124920 -245.829798 -247.214861 0.078602 -1.607336 -1.090492 -1.603342 -1.616054 0.012670 -1.603384 0.008300 -1.607754
68 8 4 0 1 0 -232.179568 -232.217761 -232.095468 -232.301861 -231.003205 -232.364952 0.112328 -2.025836 -1.470634 -2.023429 -2.025557 0.003554 -2.022003 -0.001363 -2.026919
69 6 3 0 2 0 -268.062201 -268.126505 -267.989265 -268.199441 -266.825455 -268.287661 0.088443 -1.710635 -1.185820 -1.704992 -1.710647 0.005348 -1.705298 -0.000618 -1.711265
70 7 3 1 1 0 -248.220406 -248.273812 -248.143551 -248.350667 -247.009772 -248.430371 0.102270 -1.833187 -1.271909 -1.841974 -1.838913 -0.000920 -1.839833 0.005206 -1.833707
71 6 3 0 2 0 -268.073513 -268.138591 -268.000797 -268.211307 -266.835995 -268.301176 0.088924 -1.722501 -1.196359 -1.718988 -1.721186 0.002133 -1.719053 -0.000091 -1.721277
72 8 4 0 1 0 -232.189541 -232.227787 -232.104989 -232.312338 -231.016077 -232.377706 0.112006 -2.036313 -1.483506 -2.035861 -2.038428 0.003559 -2.034869 0.001907 -2.036522
73 7 3 1 1 0 -248.244258 -248.298070 -248.167692 -248.374636 -247.034545 -248.448467 0.101847 -1.857155 -1.296682 -1.859647 -1.863686 0.003858 -1.859828 0.006708 -1.856978
74 7 3 1 1 0 -248.235587 -248.289224 -248.158596 -248.366215 -247.026399 -248.443503 0.101735 -1.848734 -1.288537 -1.854571 -1.855540 0.000098 -1.855442 0.005544 -1.849996
75 6 2 2 1 0 -264.281377 -264.349256 -264.211353 -264.419280 -263.039649 -264.504487 0.091713 -1.660343 -1.096494 -1.668717 -1.675579 0.004148 -1.671430 0.012087 -1.663492
76 7 3 1 1 0 -248.210549 -248.261900 -248.131671 -248.340778 -246.998695 -248.416462 0.102062 -1.823298 -1.260833 -1.827857 -1.827836 0.000448 -1.827388 0.003481 -1.824356
77 6 3 0 2 0 -268.088531 -268.153883 -268.016069 -268.226345 -266.855946 -268.321270 0.089436 -1.737539 -1.216310 -1.739594 -1.741137 0.000642 -1.740496 0.001411 -1.739726
78 5 2 1 2 0 -284.136513 -284.216913 -284.071501 -284.281925 -282.870550 -284.385189 0.079271 -1.551664 -1.025623 -1.556532 -1.562531 0.003859 -1.558671 0.009868 -1.552663
79 5 2 1 2 0 -284.116644 -284.197139 -284.051763 -284.262020 -282.843624 -284.360325 0.078222 -1.531759 -0.998697 -1.530619 -1.535605 0.004812 -1.530793 0.005483 -1.530121
80 5 2 1 2 0 -284.130322 -284.210615 -284.065610 -284.275327 -282.855697 -284.372483 0.080317 -1.545066 -1.010769 -1.544872 -1.547677 0.003083 -1.544594 0.003891 -1.543786
81 10 4 0 1 0 -233.393248 -233.425554 -233.301957 -233.516845 -232.167804 -233.551389 0.136209 -2.240923 -1.636676 -2.233201 -2.233041 0.000257 -2.232784 -0.009219 -2.242260
82 8 3 0 2 0 -269.281443 -269.339750 -269.201577 -269.419615 -267.994355 -269.479234 0.113450 -1.930912 -1.356162 -1.921026 -1.922431 0.001971 -1.920460 -0.008498 -1.930929
83 12 5 0 0 0 -197.509986 -197.515581 -197.406896 -197.618671 -196.345939 -197.629387 0.159632 -2.555529 -1.921876 -2.551883 -2.548336 -0.003666 -2.552002 -0.008560 -2.556897
84 10 4 0 1 0 -233.396956 -233.428908 -233.305400 -233.520464 -232.172042 -233.555951 0.136091 -2.244542 -1.640914 -2.237645 -2.237278 -0.000012 -2.237290 -0.008440 -2.245718
85 10 4 0 1 0 -233.380334 -233.410843 -233.287362 -233.503815 -232.158000 -233.545899 0.135681 -2.227893 -1.626872 -2.227183 -2.223236 -0.003307 -2.226543 -0.004998 -2.228234
86 10 5 0 0 0 -196.270429 -196.285970 -196.178175 -196.378225 -195.146688 -196.409349 0.137025 -2.314980 -1.721181 -2.309784 -2.306200 -0.003747 -2.309946 -0.010580 -2.316780
87 8 4 0 1 0 -232.152332 -232.191891 -232.070073 -232.274150 -230.965754 -232.335768 0.112851 -1.998125 -1.433183 -1.994768 -1.988106 -0.006626 -1.994732 -0.010679 -1.998785
88 8 4 0 1 0 -232.153667 -232.195258 -232.072420 -232.276505 -230.969065 -232.333410 0.113237 -2.000479 -1.436494 -1.992796 -1.991416 -0.001148 -1.992565 -0.010802 -2.002218
89 5 3 1 1 0 -246.977207 -247.034876 -246.906694 -247.105388 -245.803185 -247.201165 0.080558 -1.587804 -1.063879 -1.591602 -1.589442 -0.001100 -1.590541 0.002249 -1.587193
90 6 4 0 1 0 -230.949811 -230.994765 -230.873932 -231.070643 -229.814050 -231.155780 0.090544 -1.794514 -1.280036 -1.793019 -1.793518 0.002047 -1.791471 -0.002817 -1.796335
91 5 3 1 1 0 -247.000849 -247.061079 -246.932833 -247.129095 -245.830258 -247.225618 0.080442 -1.611511 -1.090952 -1.615939 -1.616514 0.001834 -1.614680 0.003867 -1.612646
92 4 3 0 2 0 -266.856936 -266.929304 -266.793546 -266.992693 -265.658885 -267.106213 0.068574 -1.503784 -1.017806 -1.504221 -1.501191 -0.001411 -1.502603 -0.000852 -1.502043
93 5 3 1 1 0 -246.965618 -247.023034 -246.895024 -247.093628 -245.796182 -247.190194 0.079650 -1.576044 -1.056876 -1.579723 -1.582438 0.003974 -1.578464 0.003145 -1.579293
94 4 3 0 2 0 -266.817172 -266.886944 -266.751334 -266.952782 -265.623307 -267.068488 0.066989 -1.463873 -0.982228 -1.464911 -1.465613 -0.000224 -1.465837 -0.001857 -1.467471
95 10 5 0 0 0 -196.271368 -196.283421 -196.176887 -196.377902 -195.147829 -196.407957 0.138424 -2.314657 -1.722323 -2.309791 -2.307341 -0.001481 -2.308822 -0.010053 -2.317394
96 8 4 0 1 0 -232.149284 -232.185947 -232.064535 -232.270696 -230.966514 -232.331230 0.114590 -1.994671 -1.433943 -1.991969 -1.988866 -0.002833 -1.991699 -0.007008 -1.995874
97 8 4 0 1 0 -232.144018 -232.180564 -232.059104 -232.265477 -230.961655 -232.325947 0.114694 -1.989452 -1.429084 -1.986790 -1.984007 -0.002569 -1.986576 -0.006812 -1.990820
98 8 4 0 1 0 -232.157600 -232.196341 -232.074767 -232.279175 -230.971166 -232.333258 0.115063 -2.003149 -1.438595 -1.994470 -1.993517 -0.001469 -1.994986 -0.011213 -2.004730
99 6 3 0 2 0 -268.026936 -268.090206 -267.953659 -268.163482 -266.782333 -268.248371 0.091005 -1.674676 -1.142697 -1.668264 -1.667524 -0.000529 -1.668053 -0.008239 -1.675763
100 10 5 0 0 0 -196.266400 -196.281577 -196.173582 -196.374396 -195.144332 -196.406419 0.137341 -2.311151 -1.718826 -2.307170 -2.303844 -0.003045 -2.306889 -0.008487 -2.312331
101 8 4 0 1 0 -232.148575 -232.190134 -232.067142 -232.271567 -230.965253 -232.329070 0.113827 -1.995542 -1.432682 -1.989046 -1.987604 -0.000788 -1.988392 -0.008600 -1.996204
102 9 4 1 0 0 -212.276833 -212.303547 -212.188929 -212.391451 -211.119578 -212.438188 0.125556 -2.086751 -1.488780 -2.090338 -2.085879 -0.004080 -2.089959 -0.000880 -2.086759
103 8 4 0 1 0 -232.149882 -232.189320 -232.067263 -232.271940 -230.964398 -232.334436 0.113178 -1.995915 -1.431827 -1.993763 -1.986750 -0.006797 -1.993547 -0.009396 -1.996146
104 6 3 0 2 0 -268.029577 -268.097567 -267.959429 -268.167714 -266.783742 -268.251114 0.090396 -1.678908 -1.144107 -1.670398 -1.668934 -0.001432 -1.670366 -0.011241 -1.680174
105 8 5 0 0 0 -195.009033 -195.031606 -194.926595 -195.114044 -193.919089 -195.158734 0.116844 -2.050696 -1.492140 -2.039534 -2.035717 -0.003149 -2.038866 -0.015940 -2.051657
106 6 4 0 1 0 -230.873467 -230.919937 -230.800350 -230.993055 -229.719935 -231.069318 0.092109 -1.716926 -1.185921 -1.708122 -1.699402 -0.008291 -1.707694 -0.017240 -1.716643
107 4 5 0 0 0 -192.535007 -192.573852 -192.467229 -192.641630 -191.543543 -192.736096 0.065276 -1.578075 -1.113707 -1.566420 -1.574401 0.006923 -1.567478 -0.004748 -1.579150
108 3 4 1 0 0 -208.623953 -208.674792 -208.562468 -208.736277 -207.604156 -208.842347 0.055030 -1.431267 -0.969029 -1.425609 -1.441803 0.014804 -1.426999 0.009927 -1.431877
109 2 3 2 0 0 -224.709059 -224.771975 -224.653979 -224.827056 -223.660335 -224.944660 0.044642 -1.280590 -0.819916 -1.280718 -1.304772 0.021303 -1.283469 0.023188 -1.281583
110 4 4 0 1 0 -229.690934 -229.745636 -229.624226 -229.812344 -228.601548 -229.918003 0.065029 -1.536112 -1.066091 -1.530273 -1.538131 0.008016 -1.530115 0.002035 -1.536096
111 3 3 1 1 0 -245.778975 -245.845601 -245.718644 -245.905932 -244.660840 -246.023231 0.054694 -1.388245 -0.920090 -1.388350 -1.404211 0.014304 -1.389907 0.014350 -1.389861
112 4 2 2 1 0 -263.033409 -263.106247 -262.969855 -263.169801 -261.832831 -263.280728 0.068192 -1.410761 -0.888233 -1.421983 -1.425876 0.003555 -1.422321 0.012247 -1.413629
113 3 2 1 2 0 -282.883452 -282.968332 -282.824551 -283.027233 -281.655331 -283.156647 0.055229 -1.296868 -0.808961 -1.304494 -1.304427 0.000149 -1.304278 0.006618 -1.297810
114 3 2 1 2 0 -282.905308 -282.992870 -282.848695 -283.049483 -281.683974 -283.179781 0.055704 -1.319118 -0.837603 -1.328103 -1.333070 0.005443 -1.327627 0.012903 -1.320167
115 4 5 0 0 0 -192.552920 -192.593073 -192.487642 -192.658352 -191.557782 -192.762455 0.065688 -1.594797 -1.127946 -1.593191 -1.588640 -0.006881 -1.595522 -0.011655 -1.600295
116 3 4 1 0 0 -208.637299 -208.689407 -208.578474 -208.748232 -207.612535 -208.863267 0.055566 -1.443222 -0.977407 -1.447065 -1.450182 0.000945 -1.449237 0.002293 -1.447890
117 4 4 0 1 0 -229.695513 -229.751343 -229.629979 -229.816878 -228.605909 -229.928448 0.065532 -1.540645 -1.070451 -1.541221 -1.542491 0.000419 -1.542072 -0.000586 -1.543078
118 6 4 0 1 0 -230.907234 -230.956787 -230.833922 -231.030099 -229.770574 -231.111403 0.089036 -1.753970 -1.236559 -1.747134 -1.750041 0.003300 -1.746741 -0.004782 -1.754822
119 8 5 0 0 0 -195.031430 -195.054271 -194.946494 -195.139207 -193.958086 -195.196751 0.112761 -2.075858 -1.531136 -2.073468 -2.074713 0.002075 -2.072638 -0.003934 -2.078647
120 7 3 1 1 0 -248.182924 -248.233281 -248.103118 -248.313087 -246.971921 -248.395289 0.101110 -1.795606 -1.234058 -1.805732 -1.801062 -0.003639 -1.804700 0.003877 -1.797185
121 8 5 0 0 0 -195.025210 -195.047167 -194.939548 -195.132829 -193.949186 -195.186228 0.112736 -2.069481 -1.522237 -2.062920 -2.065814 0.003661 -2.062153 -0.004878 -2.070692
122 7 4 1 0 0 -211.117238 -211.151032 -211.037865 -211.230404 -210.013028 -211.295163 0.102603 -1.925600 -1.380787 -1.924906 -1.936444 0.011378 -1.925066 0.007904 -1.928541
123 6 3 2 0 0 -227.127404 -227.173981 -227.053365 -227.248020 -225.989085 -227.324775 0.091346 -1.701761 -1.151552 -1.706445 -1.719291 0.011930 -1.707361 0.014487 -1.704804
124 6 4 0 1 0 -230.885088 -230.932221 -230.809563 -231.007745 -229.749591 -231.092208 0.088734 -1.731616 -1.215576 -1.727637 -1.729058 0.001410 -1.727648 -0.002533 -1.731591
125 5 3 1 1 0 -246.973738 -247.032760 -246.904448 -247.102050 -245.810527 -247.198000 0.078474 -1.584465 -1.071221 -1.586353 -1.596783 0.010068 -1.586716 0.010574 -1.586209
126 6 4 0 1 0 -230.907051 -230.955745 -230.833200 -231.029595 -229.769206 -231.106310 0.089329 -1.753466 -1.235192 -1.742334 -1.748673 0.005471 -1.743202 -0.005292 -1.753965
127 5 3 1 1 0 -246.998025 -247.058609 -246.930478 -247.126156 -245.831926 -247.214450 0.079045 -1.608572 -1.092620 -1.603374 -1.618182 0.013290 -1.604892 0.008400 -1.609781
128 8 4 0 1 0 -232.177041 -232.214990 -232.092408 -232.299623 -231.002900 -232.363630 0.112697 -2.023597 -1.470329 -2.022476 -2.025251 0.003045 -2.022206 0.000787 -2.024465
129 7 3 1 1 0 -248.229115 -248.282809 -248.152312 -248.359612 -247.019651 -248.436061 0.102695 -1.842131 -1.281789 -1.848089 -1.848792 0.002175 -1.846617 0.006336 -1.842456
130 6 3 0 2 0 -268.074396 -268.139569 -268.001995 -268.211971 -266.839099 -268.307873 0.089832 -1.723165 -1.199463 -1.726593 -1.724290 0.000203 -1.724087 0.001876 -1.722414
131 6 3 0 2 0 -268.040554 -268.103577 -267.966018 -268.178113 -266.808471 -268.273240 0.088447 -1.689307 -1.168835 -1.690575 -1.693662 0.002524 -1.691138 0.003908 -1.689754
132 6 3 0 2 0 -268.057273 -268.121793 -267.984339 -268.194727 -266.820603 -268.282665 0.089449 -1.705921 -1.180967 -1.701002 -1.705794 0.005599 -1.700196 0.001737 -1.704058
133 12 5 0 0 0 -197.507940 -197.513322 -197.404287 -197.616975 -196.347349 -197.629416 0.160138 -2.553833 -1.923286 -2.552418 -2.549745 -0.001810 -2.551555 -0.004910 -2.554655
134 10 4 0 1 0 -233.390083 -233.422104 -233.298247 -233.513940 -232.166888 -233.549368 0.136722 -2.238018 -1.635761 -2.231693 -2.232125 0.001376 -2.230749 -0.007007 -2.239131
135 10 4 0 1 0 -233.375424 -233.406082 -233.282176 -233.499330 -232.156054 -233.542445 0.136321 -2.223408 -1.624926 -2.224369 -2.221290 -0.001550 -2.222840 -0.003735 -2.225024
